state,Gender,Year,Count
AZ,F,1970,14949
AZ,F,1971,15091
AZ,F,1972,14478
AZ,F,1973,14783
AZ,F,1974,15368
AZ,F,1975,15166
AZ,F,1976,15262
AZ,F,1977,15957
AZ,F,1978,16382
AZ,F,1979,17864
AZ,F,1980,19288
AZ,F,1981,19957
AZ,F,1982,20166
AZ,F,1983,20390
AZ,F,1984,21106
AZ,F,1985,22994
AZ,F,1986,23426
AZ,F,1987,24425
AZ,F,1988,25182
AZ,F,1989,25427
AZ,F,1990,26253
AZ,F,1991,25801
AZ,F,1992,26192
AZ,F,1993,26274
AZ,F,1994,27042
AZ,F,1995,27282
AZ,F,1996,28459
AZ,F,1997,28067
AZ,F,1998,29208
AZ,F,1999,30442
AZ,F,2000,31935
AZ,F,2001,32015
AZ,F,2002,32448
AZ,F,2003,33703
AZ,F,2004,34409
AZ,F,2005,35501
AZ,F,2006,38229
AZ,F,2007,37915
AZ,F,2008,36455
AZ,F,2009,33447
AZ,F,2010,31508
AZ,F,2011,30430
AZ,F,2012,30909
AZ,F,2013,30643
AZ,F,2014,31607
AZ,F,2015,30784
AZ,F,2016,30792
AZ,F,2017,29889
AZ,F,2018,29140
AZ,F,2019,28157
AZ,M,1961,16946
AZ,M,1962,16913
AZ,M,1963,16611
AZ,M,1964,16274
AZ,M,1965,15226
AZ,M,1966,14296
AZ,M,1967,14441
AZ,M,1968,14482
AZ,M,1969,15521
AZ,M,1970,16989
AZ,M,1971,17468
AZ,M,1972,16966
AZ,M,1973,17239
AZ,M,1974,18030
AZ,M,1975,17510
AZ,M,1976,17887
AZ,M,1977,18632
AZ,M,1978,19033
AZ,M,1979,20977
AZ,M,1980,22561
AZ,M,1981,23199
AZ,M,1982,23648
AZ,M,1983,23779
AZ,M,1984,24845
AZ,M,1985,26463
AZ,M,1986,27223
AZ,M,1987,28380
AZ,M,1988,29451
AZ,M,1989,30269
AZ,M,1990,30762
AZ,M,1991,30392
AZ,M,1992,31219
AZ,M,1993,30760
AZ,M,1994,31916
AZ,M,1995,32470
AZ,M,1996,33517
AZ,M,1997,34342
AZ,M,1998,34839
AZ,M,1999,36178
AZ,M,2000,37909
AZ,M,2001,37822
AZ,M,2002,38907
AZ,M,2003,40079
AZ,M,2004,41334
AZ,M,2005,42428
AZ,M,2006,45262
AZ,M,2007,45244
AZ,M,2008,43354
AZ,M,2009,39870
AZ,M,2010,37222
AZ,M,2011,36587
AZ,M,2012,36925
AZ,M,2013,36696
AZ,M,2014,37479
AZ,M,2015,36851
AZ,M,2016,35885
AZ,M,2017,34433
AZ,M,2018,33958
AZ,M,2019,32933
CA,F,1961,175044
CA,F,1962,173453
CA,F,1963,174108
CA,F,1964,171878
CA,F,1965,161656
CA,F,1966,153733
CA,F,1967,152927
CA,F,1968,153791
CA,F,1969,159869
CA,F,1970,164021
CA,F,1971,148392
CA,F,1972,137059
CA,F,1973,130780
CA,F,1974,136618
CA,F,1975,138445
CA,F,1976,143862
CA,F,1977,149562
CA,F,1978,153317
CA,F,1979,163305
CA,F,1980,173686
CA,F,1981,181263
CA,F,1982,185717
CA,F,1983,187692
CA,F,1984,192573
CA,F,1985,202215
CA,F,1986,207648
CA,F,1987,215081
CA,F,1988,228372
CA,F,1989,243962
CA,F,1990,262367
CA,F,1991,261477
CA,F,1992,256719
CA,F,1993,249555
